"客户名称","设备名称","设备型号","设备编号","取样位置","油品牌号","油品状态","磨损状态","建议措施","委托单号","样品编号","报告编号","取样日期","收样日期","检测日期","报告日期","风机投运时间","样品评级","外观","运动黏度(100℃)/(mm2/s)","运动黏度(40℃)/(mm2/s)","粘度指数","水分(质量分数)/%","酸值/(mgKOH/g)","铜片腐蚀(100℃，3h)/级","铁(Fe)/(mg/kg)","铬(Cr)/(mg/kg)","锡(Sn)/(mg/kg)","铝(Al)/(mg/kg)","镍(Ni)/(mg/kg)","铜(Cu)/(mg/kg)","铅(Pb)/(mg/kg)","钙(Ca)/(mg/kg)","镁(Mg)/(mg/kg)","锌(Zn)/(mg/kg)","磷(P)/(mg/kg)","钡(Ba)/(mg/kg)","钼(Mo)/(mg/kg)","硅(Si)/(mg/kg)","钠(Na)/(mg/kg)","是否铁谱（0：否 1：是）","正常磨粒（0：无 1：少量 2：中量 3：浓密）","滑动磨粒（0：无 1：少量 2：中量 3：浓密）","切削磨粒（0：无 1：少量 2：中量 3：浓密）","片状磨粒（0：无 1：少量 2：中量 3：浓密）","疲劳磨粒（0：无 1：少量 2：中量 3：浓密）","球状磨粒（0：无 1：少量 2：中量 3：浓密）","有色金属磨粒（0：无 1：少量 2：中量 3：浓密）","红色氧化铁（0：无 1：少量 2：中量 3：浓密）","黑色氧化铁（0：无 1：少量 2：中量 3：浓密）","腐蚀磨损颗粒（0：无 1：少量 2：中量 3：浓密）","摩擦聚合物（0：无 1：少量 2：中量 3：浓密）","非金属结晶体（0：无 1：少量 2：中量 3：浓密）","其它（0：无 1：少量 2：中量 3：浓密）"
"测试客户","风电机组","GW 140/3000C","74#","杭齿齿轮箱","MOBIL SHC GREASE 460 WT","油脂外观呈黑色，水分含量正常；","油脂中磨损金属元素含量在正常水平；","油脂可以继续使用。建议关注轴承运行情况，定期取样，加强监测。","2021445","GW20211116112","GW2021111210","","2021-11-11","2021-11-26","2021-11-26","/","/","黑色","","","","","","","120","0","","36","100","4","","1094","580","106","23","","2","53","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"测试客户","风电机组","GW 140/3000C","74#","杭齿齿轮箱","MOBIL SHC GREASE 460 WT","油脂外观呈暗红色，水分含量正常；","油脂中磨损金属元素含量在正常水平；","油脂可以继续使用。建议关注轴承运行情况，定期取样，加强监测。","2021445","GW20211116113","GW2021111211","","2021-11-12","2021-11-26","2021-11-26","/","/","暗红色","","","","","","","235","1","","22","1","8","","537","30","204","22","","5","72","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"测试客户","风电机组","GW 140/3000C","74#","杭齿齿轮箱","MOBIL SHC GREASE 460 WT","油脂外观呈暗红色，水分含量正常；","油脂中磨损金属元素含量在正常水平；","油脂可以继续使用。建议关注轴承运行情况，定期取样，加强监测。","2021445","GW20211116114","GW2021111212","","2021-11-13","2021-11-26","2021-11-26","/","/","暗红色","","","","","","","630","4","","26","1","27","","1032","10","1074","969","","2","91","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"测试客户","风电机组","GW 140/3000C","74#","杭齿齿轮箱","MOBIL SHC GREASE 460 WT","油脂外观呈暗红色，水分含量正常；","油脂中磨损金属元素含量在正常水平；","油脂可以继续使用。建议关注轴承运行情况，定期取样，加强监测。","2021445","GW20211116115","GW2021111213","","2021-11-14","2021-11-26","2021-11-26","/","/","暗红色","","","","","","","252","1","","28","5","8","","533","38","162","6","","5","78","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"测试客户","风电机组","GW 140/3000C","74#","杭齿齿轮箱","MOBIL SHC XMP 320","油品外观黄色透明，粘度、酸值、水分、铜片腐蚀等指标正常；","油品中磨损金属元素含量在正常水平；","油品可以继续使用。建议关注设备运行情况，保持油品清洁，定期取样，加强监测。","/","JC20211013001","JC2021100070","","2021-11-15","2021-10-21","2021-10-22","/","正常","棕色透明","37.34","331.0","162","痕迹","0.65","1a","110","<1","<1","<1","<1","<1","<1","<1","<1","2","433","<1","<1","4","<1","","","","","","","","","","","","","",""
"测试客户","风电机组","GW 140/3000C","74#","杭齿齿轮箱","MOBIL SHC XMP 320","油品外观黄色透明，粘度、酸值、水分、铜片腐蚀等指标正常；","油品中磨损金属元素含量在正常水平；","油品可以继续使用。建议关注设备运行情况，保持油品清洁，定期取样，加强监测。","/","JC20211013002","JC2021100071","","2021-11-16","2021-10-21","2021-10-22","/","正常","棕色透明","37.41","331.4","162","痕迹","0.57","1a","286","<1","<1","<1","<1","<1","<1","<1","<1","<1","444","<1","<1","5","<1","","","","","","","","","","","","","",""
"测试客户","风电机组","GW 140/3000C","74#","杭齿齿轮箱","中科润美风电齿轮油 Lubemater CF-20 320","油品外观黄色透明，粘度、酸值、水分、铜片腐蚀等指标正常；","油品中磨损金属元素含量在正常水平；","油品可以继续使用。建议关注设备运行情况，保持油品清洁，定期取样，加强监测。","/","JC20211013003","JC2021100072","","2021-11-17","2021-10-21","2021-10-22","/","正常","棕色透明","39.70","325.2","175","痕迹","0.63","1a","530","<1","<1","<1","<1","<1","<1","<1","<1","<1","517","<1","<1","<1","1","","","","","","","","","","","","","",""
"测试客户","风电机组","GW 140/3000C","74#","杭齿齿轮箱","中科润美风电齿轮油 Lubemater CF-20 320","油品外观黄色透明，粘度、酸值、水分、铜片腐蚀等指标正常；","油品中磨损金属元素含量在正常水平；","油品可以继续使用。建议关注设备运行情况，保持油品清洁，定期取样，加强监测。","/","JC20211013004","JC2021100073","","2021-11-18","2021-10-21","2021-10-22","/","正常","棕色透明","39.69","325.1","175","痕迹","0.67","1a","127","<1","<1","<1","<1","<1","<1","<1","<1","<1","509","<1","<1","<1","<1","","","","","","","","","","","","","",""
"测试客户","风电机组","GW 140/3000C","74#","杭齿齿轮箱","MOBIL SHC XMP 320","油品外观黄色透明，粘度、酸值、水分、铜片腐蚀等指标正常；","油品中磨损金属元素含量在正常水平；","油品可以继续使用。建议关注设备运行情况，保持油品清洁，定期取样，加强监测。","/","JC20211013005","JC2021100074","","2021-11-19","2021-10-21","2021-10-22","/","正常","棕色透明","37.34","331.0","162","痕迹","0.65","1a","250","<1","<1","<1","<1","<1","<1","<1","<1","2","433","<1","<1","4","<1","","","","","","","","","","","","","",""
"测试客户","风电机组","GW 140/3000C","74#","杭齿齿轮箱","MOBIL SHC XMP 320","油品外观黄色透明，粘度、酸值、水分、铜片腐蚀等指标正常；","油品中磨损金属元素含量在正常水平；","油品可以继续使用。建议关注设备运行情况，保持油品清洁，定期取样，加强监测。","/","JC20211013006","JC2021100074","","2021-11-20","2021-10-21","2021-10-22","/","正常","棕色透明","37.41","331.4","162","痕迹","0.57","1a","180","<1","<1","<1","<1","<1","<1","<1","<1","<1","444","<1","<1","5","<1","","","","","","","","","","","","","",""
"测试客户","风电机组","GW 140/3000C","74#","杭齿齿轮箱","中科润美风电齿轮油 Lubemater CF-20 320","油品外观黄色透明，粘度、酸值、水分、铜片腐蚀等指标正常；","油品中磨损金属元素含量在正常水平；","油品可以继续使用。建议关注设备运行情况，保持油品清洁，定期取样，加强监测。","/","JC20211013007","JC2021100075","","2021-11-21","2021-10-21","2021-10-22","/","正常","棕色透明","39.70","325.2","175","痕迹","0.63","1a","369","<1","<1","<1","<1","<1","<1","<1","<1","<1","517","<1","<1","<1","1","","","","","","","","","","","","","",""
"测试客户","风电机组","GW 140/3000C","74#","杭齿齿轮箱","中科润美风电齿轮油 Lubemater CF-20 320","油品外观黄色透明，粘度、酸值、水分、铜片腐蚀等指标正常；","油品中磨损金属元素含量在正常水平；","油品可以继续使用。建议关注设备运行情况，保持油品清洁，定期取样，加强监测。","/","JC20211013008","JC2021100075","","2021-11-22","2021-10-21","2021-10-22","/","正常","棕色透明","39.69","325.1","175","痕迹","0.67","1a","458","<1","<1","<1","<1","<1","<1","<1","<1","<1","509","<1","<1","<1","<1","","","","","","","","","","","","","",""
